197329,THE OCCUPIER, EVERGREEN RESIDENCE DURUMI 4T1,EVERGREEN RESIDENCE,AM/B02/TR/0171C,DURUMI,SPLITTED,RESIDENTIAL,DURUMI,"2,000,000","80,000","371,280","37,128","488,408",0,AMAC 2,ACTIVE
197331,THE OCCUPIER, EVERGREEN RESIDENCE DURUMI 4T2,EVERGREEN RESIDENCE,AM/B02/TR/0171E,DURUMI,SPLITTED,RESIDENTIAL,DURUMI,"2,000,000","80,000","371,280","37,128","488,408",0,AMAC 2,ACTIVE
851080,THE OCCUPIER," FLAT 1, JANET Y. DUNIYA STREET EN12",JANET Y. DUNIYA,AM/B14/TR/AMVE/12/F1,APO,SPLITTED,RESIDENTIAL,APO,"750,000","30,000","63,000","6,300","99,300",NULL,AMAC 2,ACTIVE
851032,THE OCCUPIER," FLAT 1, MADUKIYA CRESCENT EN27",MADUKIYA CRESCENT,AMB14/TR/AMVE/27/F1,APO,SPLITTED,RESIDENTIAL,APO,"750,000","30,000","63,000","6,300","99,300",NULL,AMAC 2,ACTIVE
851036,THE OCCUPIER," FLAT 1, MADUKIYA CRESCENT EN28",MADUKIYA CRESCENT,AMB14/TR/AMVE/28/F1,APO,SPLITTED,RESIDENTIAL,APO,"500,000","20,000","42,000","4,200","66,200",NULL,AMAC 2,ACTIVE
851081,THE OCCUPIER," FLAT 2, JANET Y. DUNIYA STREET EN12",JANET Y. DUNIYA,AM/B14/TR/AMVE/12/F2,APO,SPLITTED,RESIDENTIAL,APO,"750,000","30,000","63,000","6,300","99,300",NULL,AMAC 2,ACTIVE
851033,THE OCCUPIER," FLAT 2, MADUKIYA CRESCENT EN27",MADUKIYA CRESCENT,AMB14/TR/AMVE/27/F2,APO,SPLITTED,RESIDENTIAL,APO,"750,000","30,000","63,000","6,300","99,300",NULL,AMAC 2,ACTIVE
851037,THE OCCUPIER," FLAT 2, MADUKIYA CRESCENT EN28",MADUKIYA CRESCENT,AMB14/TR/AMVE/28/F2,APO,SPLITTED,RESIDENTIAL,APO,"500,000","20,000","42,000","4,200","66,200",NULL,AMAC 2,ACTIVE
851082,THE OCCUPIER," FLAT 3, JANET Y. DUNIYA STREET EN12",JANET Y. DUNIYA,AM/B14/TR/AMVE/12/F3,APO,SPLITTED,RESIDENTIAL,APO,"750,000","30,000","63,000","6,300","99,300",NULL,AMAC 2,ACTIVE
851034,THE OCCUPIER," FLAT 3, MADUKIYA CRESCENT EN27",MADUKIYA CRESCENT,AMB14/TR/AMVE/27/F3,APO,SPLITTED,RESIDENTIAL,APO,"750,000","30,000","63,000","6,300","99,300",NULL,AMAC 2,ACTIVE
