75798,THE OCCUPIER,No. 62  Access Road A Street  Sun Gold Estate,Access Road,AM/CO7/TR/ ASMA BELL ESTATE/0003,CO7 - GALADIMAWA,SPLITTED,RESIDENTIAL,GALADIMAWA,"1,904,714","76,188.56","360,246.11","36,024.61","472,459",NULL,AMAC 1,ACTIVE
75289,THE OCCUPIER,No. 62  Nile Crescent  Suncity Estate,Nile Crescent,AM/CO7/TR/ SUNCITY ESTATE/0062,CO7 - GALADIMAWA,SPLITTED,RESIDENTIAL,GALADIMAWA,"2,133,333","85,333.32","510,298.29","51,029.83","646,661",NULL,AMAC 1,ACTIVE
72688,THE OCCUPIER,No. 62  Pent Ville ESTATE,Pent Ville Estate,AM/CO9/TR/PENT V. ESTATE/0062,C09 - LOKOGOMA,SPLITTED,RESIDENTIAL,LOKOGOMA,"761,905","30,476.20","141,440.04","14,144.00","186,060",NULL,AMAC 1,ACTIVE
75479,THE OCCUPIER,No. 62  Ramford Street  Suncity Estate,Ramford Street,AM/CO7/TR/ SUNCITY ESTATE/0062,CO7 - GALADIMAWA,SPLITTED,RESIDENTIAL,GALADIMAWA,"2,133,333","85,333.32","475,891.94","47,589.19","608,814",NULL,AMAC 1,ACTIVE
71656,THE OCCUPIER,No. 62 Flat A  Beechwood Avenue,Beechwood Avenue,AM/C09/TR/MINFA EST/0053,C09 - LOKOGOMA,SPLITTED,RESIDENTIAL,LOKOGOMA,"609,524","24,380.96","258,537.17","25,853.72","308,771",NULL,AMAC 1,ACTIVE
70832,THE OCCUPIER,No. 62 I Pent II Estate,Pent II Estate,AM/C09/TR/I PENT II EST/0049,C09 - LOKOGOMA,SPLITTED,RESIDENTIAL,LOKOGOMA,"761,905","30,476.20","141,440.04","14,144.00","186,060",NULL,AMAC 1,ACTIVE
70899,THE OCCUPIER,No. 62 I Pent III Estate,Pent III Estate,AM/CO9/TR/I PENT III ESTATE /0018,C09 - LOKOGOMA,SPLITTED,RESIDENTIAL,LOKOGOMA,"838,095","33,523.80","155,583.96","15,558.40","204,666",NULL,AMAC 1,ACTIVE
72153,THE OCCUPIER,No. 62 Peng 1 Estate,Peng 1 Estate,AM/C09/TR/PENG I EST/0062,C09 - LOKOGOMA,SPLITTED,RESIDENTIAL,LOKOGOMA,"457,143","18,285.72","84,864.03","8,486.40","111,636",NULL,AMAC 1,ACTIVE
71516,THE OCCUPIER,No. 62 R. Park Road,Park Road,AM/C09/TR/MINFA EST/0039,C09 - LOKOGOMA,SPLITTED,RESIDENTIAL,LOKOGOMA,"533,333","21,333.32","317,085.63","31,708.56","370,127",NULL,AMAC 1,ACTIVE
75877,THE OCCUPIER,No. 62a  Main Street  SunCity Estate,Main Street,AM/CO7/TR/ SUNCITY ESTATE/0062,CO7 - GALADIMAWA,SPLITTED,RESIDENTIAL,GALADIMAWA,"3,047,619","121,904.76","579,069.99","57,907.00","758,881",NULL,AMAC 1,ACTIVE
72444,THE OCCUPIER,No. 62A Pent City,Pent City Estate,AM/CO9/TR/PENT CITY ESTATE/0041/A,C09 - LOKOGOMA,SPLITTED,RESIDENTIAL,LOKOGOMA,"533,333","21,333.32","99,007.94","9,900.79","130,242",NULL,AMAC 1,ACTIVE
75878,THE OCCUPIER,No. 62b  Main Street  SunCity Estate,Main Street,AM/CO7/TR/ SUNCITY ESTATE/0062,CO7 - GALADIMAWA,SPLITTED,COMMERCIAL,GALADIMAWA,"3,047,619","121,904.76","579,069.99","57,907.00","758,881",NULL,AMAC 1,ACTIVE
72445,THE OCCUPIER,No. 62B Pent City,Pent City Estate,AM/CO9/TR/PENT CITY ESTATE/0041/B,C09 - LOKOGOMA,SPLITTED,RESIDENTIAL,LOKOGOMA,"533,333","21,333.32","99,007.94","9,900.79","130,242",NULL,AMAC 1,ACTIVE
74908,THE OCCUPIER,No. 63  Arsenal Street  Suncity Estate,Arsenal Street,AM/CO7/TR/ SUNCITY ESTATE/0063,CO7 - GALADIMAWA,SPLITTED,RESIDENTIAL,GALADIMAWA,"2,133,333","85,333.32","475,891.94","47,589.19","608,814",NULL,AMAC 1,ACTIVE
75290,THE OCCUPIER,No. 63  Nile Crescent  Suncity Estate,Nile Crescent,AM/CO7/TR/ SUNCITY ESTATE/0063,CO7 - GALADIMAWA,SPLITTED,RESIDENTIAL,GALADIMAWA,"2,133,333","85,333.32","402,686.94","40,268.69","528,288",NULL,AMAC 1,ACTIVE
72689,THE OCCUPIER,No. 63  Pent Ville ESTATE,Pent Ville Estate,AM/CO9/TR/PENT V. ESTATE/0063,C09 - LOKOGOMA,SPLITTED,RESIDENTIAL,LOKOGOMA,"761,905","30,476.20","141,440.04","14,144.00","186,060",NULL,AMAC 1,ACTIVE
75480,THE OCCUPIER,No. 63  Ramford Street  Suncity Estate,Ramford Street,AM/CO7/TR/ SUNCITY ESTATE/0063,CO7 - GALADIMAWA,SPLITTED,RESIDENTIAL,GALADIMAWA,"2,133,333","85,333.32","402,686.94","40,268.69","528,288",NULL,AMAC 1,ACTIVE
70896,THE OCCUPIER,No. 63 I Pent III Estate,Pent III Estate,AM/CO9/TR/I PENT III ESTATE /0015,C09 - LOKOGOMA,SPLITTED,RESIDENTIAL,LOKOGOMA,"761,905","30,476.20","141,440.04","14,144.00","186,060",NULL,AMAC 1,ACTIVE
