226721,THE PROPRIETOR,BRISTOL KIDDIES ACADEMY KARU SITE,BRISTOL KIDDIES ACADEMY KARU SITE,AM/E10/TR/COM/1039,E10 - KARU,SPLITTED,COMMERCIAL,KARU,"3,480,750","139,230",0,0,"139,230",EDUCATIONAL INSTITUTION,AMAC 2,ACTIVE
215998,THE PROPRIETOR,BRITISH NIGERIA ACADEMY SCHOOL PRINCE & PRINCESS A,DRIVE 6,AM/B12/TR/2016/0596,B12 - DUBOYI,SPLITTED,COMMERCIAL,DUBOYI,"22,859,142","914,365.68","964,657.68","96,465.77","1,975,489",EDUCATIONAL INSTITUTION,AMAC 2,ACTIVE
151743,De Gojis Ventures ,by  mopol junction  Nyanya  House 5,Nyanya,AM/E20/TR/COM/0618,E08 - NYANYA,SPLITTED,COMMERCIAL,Nyanya ,"363,000","14,520","30,492","3,049.20","48,061",0, AMAC 2 ,ACTIVE
862031,DELUXE PHARMACY LIMITED,"BY AGRIC QUARTER ROAD,KARU",BY AGRIC QUARTER ROAD,AM/E10/TR/DELUXE PHARM,KARU,SPLITTED,COMMERCIAL,KARU,"455,625","18,225",0,0,"18,225",0,AMAC 2,ACTIVE
862032,BLOOMING CHICKEN,"BY AGRIC QUARTER ROAD,KARU",BY AGRIC QUARTER ROAD,AM/E10/TR/BLOOMING C.,KARU,SPLITTED,COMMERCIAL,KARU,"929,475","37,179",0,0,"37,179",0,AMAC 2,ACTIVE
223952,THE OCCUPIER,By High Court  Phase 1  Along Nyanya-Karu road  House 12/12,Along Nyanya-Karu road,AM/E08/TR/RES/0025/12,E08 - NYANYA,SPLITTED,RESIDENTIAL,Nyanya,"75,000","3,000","9,930",993,"13,923",NULL,AMAC 2,ACTIVE
139285,THE OCCUPIER,BY MECHANICAL WORKSHOP APO DUTSE,MECHANICAL WORKSHOP APO DUTSE,AM/B14/TR/2016/1631,B14 - APO DUTSE,SPLITTED,RESIDENTIAL,APO DUTSE,"2,286,000","91,440","424,373.04","42,437.30","558,250",RESIDENTIAL,AMAC 2,ACTIVE
200344,THE OCCUPIER,By Nyanya-Karu FHA   House 45  Flat 1,FHA,AM/E10/TR/RES/1360/1,E10 - KARU,SPLITTED,RESIDENTIAL,KARU,"125,000","5,000","16,550","1,655","23,205",NULL,AMAC 2,ACTIVE
200345,THE OCCUPIER,By Nyanya-Karu FHA   House 45  Flat 2,FHA,AM/E10/TR/RES/1360/2,E10 - KARU,SPLITTED,RESIDENTIAL,KARU,"125,000","5,000","16,550","1,655","23,205",NULL,AMAC 2,ACTIVE
200346,THE OCCUPIER,By Nyanya-Karu FHA   House 45  Flat 3,FHA,AM/E10/TR/RES/1360/3,E10 - KARU,SPLITTED,RESIDENTIAL,KARU,"125,000","5,000","16,550","1,655","23,205",NULL,AMAC 2,ACTIVE
200208,THE OCCUPIER,By Nyanya-Karu FHA  House 1  Flat 1,FHA,AM/E10/TR/RES/1311/1,E10 - KARU,SPLITTED,RESIDENTIAL,KARU,"125,000","5,000","16,550","1,655","23,205",NULL,AMAC 2,ACTIVE
200217,THE OCCUPIER,By Nyanya-Karu FHA  House 1  Flat 10,FHA,AM/E10/TR/RES/1311/10,E10 - KARU,SPLITTED,RESIDENTIAL,KARU,"125,000","5,000","16,550","1,655","23,205",NULL,AMAC 2,ACTIVE
200209,THE OCCUPIER,By Nyanya-Karu FHA  House 1  Flat 2,FHA,AM/E10/TR/RES/1311/2,E10 - KARU,SPLITTED,RESIDENTIAL,KARU,"125,000","5,000","16,550","1,655","23,205",NULL,AMAC 2,ACTIVE
200210,THE OCCUPIER,By Nyanya-Karu FHA  House 1  Flat 3,FHA,AM/E10/TR/RES/1311/3,E10 - KARU,SPLITTED,RESIDENTIAL,KARU,"125,000","5,000","16,550","1,655","23,205",NULL,AMAC 2,ACTIVE
200211,THE OCCUPIER,By Nyanya-Karu FHA  House 1  Flat 4,FHA,AM/E10/TR/RES/1311/4,E10 - KARU,SPLITTED,RESIDENTIAL,KARU,"125,000","5,000","16,550","1,655","23,205",NULL,AMAC 2,ACTIVE
200212,THE OCCUPIER,By Nyanya-Karu FHA  House 1  Flat 5,FHA,AM/E10/TR/RES/1311/5,E10 - KARU,SPLITTED,RESIDENTIAL,KARU,"125,000","5,000","16,550","1,655","23,205",NULL,AMAC 2,ACTIVE
200213,THE OCCUPIER,By Nyanya-Karu FHA  House 1  Flat 6,FHA,AM/E10/TR/RES/1311/6,E10 - KARU,SPLITTED,RESIDENTIAL,KARU,"125,000","5,000","16,550","1,655","23,205",NULL,AMAC 2,ACTIVE
200214,THE OCCUPIER,By Nyanya-Karu FHA  House 1  Flat 7,FHA,AM/E10/TR/RES/1311/7,E10 - KARU,SPLITTED,RESIDENTIAL,KARU,"125,000","5,000","16,550","1,655","23,205",NULL,AMAC 2,ACTIVE
200215,THE OCCUPIER,By Nyanya-Karu FHA  House 1  Flat 8,FHA,AM/E10/TR/RES/1311/8,E10 - KARU,SPLITTED,RESIDENTIAL,KARU,"125,000","5,000","16,550","1,655","23,205",NULL,AMAC 2,ACTIVE
200216,THE OCCUPIER,By Nyanya-Karu FHA  House 1  Flat 9,FHA,AM/E10/TR/RES/1311/9,E10 - KARU,SPLITTED,RESIDENTIAL,KARU,"125,000","5,000","16,550","1,655","23,205",NULL,AMAC 2,ACTIVE
200250,THE OCCUPIER,By Nyanya-Karu FHA  House 10/1,FHA,AM/E10/TR/RES/1321/1,E10 - KARU,SPLITTED,RESIDENTIAL,KARU,"125,000","5,000","16,550","1,655","23,205",NULL,AMAC 2,ACTIVE
200251,THE OCCUPIER,By Nyanya-Karu FHA  House 10/2,FHA,AM/E10/TR/RES/1321/2,E10 - KARU,SPLITTED,RESIDENTIAL,KARU,"125,000","5,000","16,550","1,655","23,205",NULL,AMAC 2,ACTIVE
200254,THE OCCUPIER,By Nyanya-Karu FHA  House 13,FHA,AM/E10/TR/RES/1324,E10 - KARU,SPLITTED,RESIDENTIAL,KARU,"125,000","5,000","16,550","1,655","23,205",NULL,AMAC 2,ACTIVE
200255,THE OCCUPIER,By Nyanya-Karu FHA  House 14,FHA,AM/E10/TR/RES/1325,E10 - KARU,SPLITTED,RESIDENTIAL,KARU,"125,000","5,000","16,550","1,655","23,205",NULL,AMAC 2,ACTIVE
200218,THE OCCUPIER,By Nyanya-Karu FHA  House 3,FHA,AM/E10/TR/RES/1313,E10 - KARU,SPLITTED,RESIDENTIAL,KARU,"125,000","5,000","16,550","1,655","23,205",NULL,AMAC 2,ACTIVE
200311,THE OCCUPIER,By Nyanya-Karu FHA  House 35  Room 1,FHA,AM/E10/TR/RES/1351/5,E10 - KARU,SPLITTED,RESIDENTIAL,KARU,"53,738","2,149.52","7,114.91",711.491,"9,975",NULL,AMAC 2,ACTIVE
200313,THE OCCUPIER,By Nyanya-Karu FHA  House 36  Flat 1,FHA,AM/E10/TR/RES/1352/1,E10 - KARU,SPLITTED,RESIDENTIAL,KARU,"125,000","5,000","16,550","1,655","23,205",NULL,AMAC 2,ACTIVE
200314,THE OCCUPIER,By Nyanya-Karu FHA  House 36  Flat 2,FHA,AM/E10/TR/RES/1352/2,E10 - KARU,SPLITTED,RESIDENTIAL,KARU,"125,000","5,000","16,550","1,655","23,205",NULL,AMAC 2,ACTIVE
200315,THE OCCUPIER,By Nyanya-Karu FHA  House 36  Flat 3,FHA,AM/E10/TR/RES/1352/3,E10 - KARU,SPLITTED,RESIDENTIAL,KARU,"125,000","5,000","16,550","1,655","23,205",NULL,AMAC 2,ACTIVE
200316,THE OCCUPIER,By Nyanya-Karu FHA  House 36  Flat 4,FHA,AM/E10/TR/RES/1352/4,E10 - KARU,SPLITTED,RESIDENTIAL,KARU,"125,000","5,000","16,550","1,655","23,205",NULL,AMAC 2,ACTIVE
200320,THE OCCUPIER,By Nyanya-Karu FHA  House 36  Flat 8,FHA,AM/E10/TR/RES/1352/8,E10 - KARU,SPLITTED,RESIDENTIAL,KARU,"75,000","3,000","9,930",993,"13,923",NULL,AMAC 2,ACTIVE
200324,THE OCCUPIER,By Nyanya-Karu FHA  House 38  Flat 1,FHA,AM/E10/TR/RES/1354/1,E10 - KARU,SPLITTED,RESIDENTIAL,KARU,"125,000","5,000","16,550","1,655","23,205",NULL,AMAC 2,ACTIVE
200325,THE OCCUPIER,By Nyanya-Karu FHA  House 38  Flat 2,FHA,AM/E10/TR/RES/1354/2,E10 - KARU,SPLITTED,RESIDENTIAL,KARU,"125,000","5,000","16,550","1,655","23,205",NULL,AMAC 2,ACTIVE
200326,THE OCCUPIER,By Nyanya-Karu FHA  House 38  Flat 3,FHA,AM/E10/TR/RES/1354/3,E10 - KARU,SPLITTED,RESIDENTIAL,KARU,"125,000","5,000","16,550","1,655","23,205",NULL,AMAC 2,ACTIVE
200328,THE OCCUPIER,By Nyanya-Karu FHA  House 39  Flat 2,FHA,AM/E10/TR/RES/1355/2,E10 - KARU,SPLITTED,RESIDENTIAL,KARU,"75,000","3,000","9,930",993,"13,923",NULL,AMAC 2,ACTIVE
200331,THE OCCUPIER,By Nyanya-Karu FHA  House 40  Flat 1,FHA,AM/E10/TR/RES/1356/1,E10 - KARU,SPLITTED,RESIDENTIAL,KARU,"125,000","5,000","16,550","1,655","23,205",NULL,AMAC 2,ACTIVE
200332,THE OCCUPIER,By Nyanya-Karu FHA  House 40  Flat 2,FHA,AM/E10/TR/RES/1356/2,E10 - KARU,SPLITTED,RESIDENTIAL,KARU,"125,000","5,000","16,550","1,655","23,205",NULL,AMAC 2,ACTIVE
200333,THE OCCUPIER,By Nyanya-Karu FHA  House 40  Flat 3,FHA,AM/E10/TR/RES/1356/3,E10 - KARU,SPLITTED,RESIDENTIAL,KARU,"125,000","5,000","16,550","1,655","23,205",NULL,AMAC 2,ACTIVE
200334,THE OCCUPIER,By Nyanya-Karu FHA  House 40  Flat 4,FHA,AM/E10/TR/RES/1356/4,E10 - KARU,SPLITTED,RESIDENTIAL,KARU,"125,000","5,000","16,550","1,655","23,205",NULL,AMAC 2,ACTIVE
200337,THE OCCUPIER,By Nyanya-Karu FHA  House 41  Flat 7,FHA,AM/E10/TR/RES/1356/7,E10 - KARU,SPLITTED,RESIDENTIAL,KARU,"75,000","3,000","9,930",993,"13,923",NULL,AMAC 2,ACTIVE
200338,THE OCCUPIER,By Nyanya-Karu FHA  House 42/1,FHA,AM/E10/TR/RES/1357/1,E10 - KARU,SPLITTED,RESIDENTIAL,KARU,"125,000","5,000","16,550","1,655","23,205",NULL,AMAC 2,ACTIVE
200339,THE OCCUPIER,By Nyanya-Karu FHA  House 42/2,FHA,AM/E10/TR/RES/1357/2,E10 - KARU,SPLITTED,RESIDENTIAL,KARU,"125,000","5,000","16,550","1,655","23,205",NULL,AMAC 2,ACTIVE
200340,THE OCCUPIER,By Nyanya-Karu FHA  House 42/3,FHA,AM/E10/TR/RES/1357/3,E10 - KARU,SPLITTED,RESIDENTIAL,KARU,"125,000","5,000","16,550","1,655","23,205",NULL,AMAC 2,ACTIVE
200341,THE OCCUPIER,By Nyanya-Karu FHA  House 43  Flat 1,FHA,AM/E10/TR/RES/1358/1,E10 - KARU,SPLITTED,RESIDENTIAL,KARU,"125,000","5,000","16,550","1,655","23,205",NULL,AMAC 2,ACTIVE
200342,THE OCCUPIER,By Nyanya-Karu FHA  House 43  Flat 2,FHA,AM/E10/TR/RES/1358/2,E10 - KARU,SPLITTED,RESIDENTIAL,KARU,"125,000","5,000","16,550","1,655","23,205",NULL,AMAC 2,ACTIVE
200343,THE OCCUPIER,By Nyanya-Karu FHA  House 44,FHA,AM/E10/TR/RES/1359,E10 - KARU,SPLITTED,RESIDENTIAL,KARU,"125,000","5,000","16,550","1,655","23,205",NULL,AMAC 2,ACTIVE
200347,THE OCCUPIER,By Nyanya-Karu FHA  House 46  Flat 1,FHA,AM/E10/TR/RES/1361/1,E10 - KARU,SPLITTED,RESIDENTIAL,KARU,"125,000","5,000","16,550","1,655","23,205",NULL,AMAC 2,ACTIVE
200349,THE OCCUPIER,By Nyanya-Karu FHA  House 46  Flat 3,FHA,AM/E10/TR/RES/1361/3,E10 - KARU,SPLITTED,RESIDENTIAL,KARU,"125,000","5,000","16,550","1,655","23,205",NULL,AMAC 2,ACTIVE
200350,THE OCCUPIER,By Nyanya-Karu FHA  House 46  Flat 4,FHA,AM/E10/TR/RES/1361/4,E10 - KARU,SPLITTED,RESIDENTIAL,KARU,"125,000","5,000","16,550","1,655","23,205",NULL,AMAC 2,ACTIVE
200351,THE OCCUPIER,By Nyanya-Karu FHA  House 46  Flat 5,FHA,AM/E10/TR/RES/1361/5,E10 - KARU,SPLITTED,RESIDENTIAL,KARU,"75,000","3,000","9,930",993,"13,923",NULL,AMAC 2,ACTIVE
